id,model,richness,connectance,complexity,distance,basal,top,S1,S2,S4,S5
Little,adbm,15,0.07111111111111111,0.800935343202911,2.0,10.0,10.0,0.0,2.0,22.0,19.0
Little,niche,15,0.18222222222222223,0.8877272437171124,3.0,3.0,0.0,6.0,1.0,4.0,9.0
Little,bodymassratio,15,0.1111111111111111,0.9304395612888714,3.0,5.0,5.0,32.0,6.0,22.0,30.0
Narrowdale,adbm,16,0.0,0.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0
Narrowdale,niche,16,0.0625,0.8749267344720891,2.0,10.0,9.0,0.0,0.0,6.0,10.0
Narrowdale,bodymassratio,16,0.10546875,0.9324421084383892,3.0,3.0,4.0,38.0,7.0,14.0,26.0
NorthCol,adbm,22,0.10950413223140495,0.8202662823793072,2.0,11.0,11.0,43.0,20.0,118.0,96.0
NorthCol,niche,22,0.11363636363636363,0.9247830369178314,3.0,7.0,0.0,34.0,11.0,36.0,56.0
NorthCol,bodymassratio,22,0.1487603305785124,0.882743897126308,3.0,6.0,3.0,116.0,39.0,115.0,129.0
Powder,adbm,23,0.12098298676748583,0.8802502473787374,2.0,12.0,3.0,88.0,16.0,74.0,179.0
Powder,niche,23,0.15311909262759923,0.875827892142873,2.0,5.0,3.0,35.0,20.0,81.0,109.0
Powder,bodymassratio,23,0.1342155009451796,0.8963102895468275,4.0,4.0,4.0,178.0,42.0,81.0,85.0
Stony,adbm,26,0.07988165680473373,0.8490096627463486,2.0,16.0,5.0,33.0,2.0,116.0,160.0
Stony,niche,26,0.08431952662721894,0.9401362290725453,2.0,6.0,2.0,29.0,18.0,27.0,57.0
Stony,bodymassratio,26,0.15680473372781065,0.8860200967980871,4.0,3.0,4.0,313.0,66.0,196.0,214.0
Sutton,adbm,24,0.09027777777777778,0.892563288820072,2.0,12.0,3.0,53.0,8.0,53.0,173.0
Sutton,niche,24,0.08333333333333333,0.8908545577144671,3.0,14.0,5.0,4.0,6.0,11.0,58.0
Sutton,bodymassratio,24,0.1371527777777778,0.9017270394189758,2.0,4.0,4.0,149.0,27.0,129.0,168.0
Venlaw,adbm,22,0.049586776859504134,0.9515612713690553,2.0,18.0,5.0,17.0,7.0,0.0,62.0
Venlaw,niche,22,0.10950413223140495,0.9115978705465473,2.0,8.0,1.0,0.0,0.0,0.0,28.0
Venlaw,bodymassratio,22,0.10330578512396695,0.928570284571516,4.0,3.0,5.0,96.0,12.0,52.0,49.0
AkatoreB,adbm,15,0.06222222222222222,0.883904043677778,2.0,8.0,10.0,10.0,0.0,16.0,11.0
AkatoreB,niche,15,0.1288888888888889,0.8978851479406584,2.0,4.0,3.0,3.0,4.0,11.0,6.0
AkatoreB,bodymassratio,15,0.1688888888888889,0.8829693108153251,3.0,5.0,1.0,56.0,11.0,36.0,55.0
Berwick,adbm,25,0.0368,0.8741374992834594,2.0,21.0,12.0,1.0,1.0,12.0,71.0
Berwick,niche,25,0.1168,0.8831242899169007,2.0,9.0,6.0,47.0,20.0,35.0,82.0
Berwick,bodymassratio,25,0.136,0.9186990364727918,3.0,5.0,4.0,219.0,47.0,134.0,110.0
Blackrock,adbm,21,0.09297052154195011,0.9053901780212467,1.0,5.0,14.0,20.0,13.0,131.0,31.0
Blackrock,niche,21,0.07709750566893424,0.9427828204653336,3.0,9.0,3.0,5.0,2.0,10.0,14.0
Blackrock,bodymassratio,21,0.14285714285714285,0.891584772573671,3.0,4.0,3.0,125.0,20.0,88.0,128.0
Broad,adbm,25,0.1024,0.8505523388460826,2.0,13.0,3.0,50.0,21.0,148.0,147.0
Broad,niche,25,0.1104,0.9144391663705138,2.0,7.0,2.0,68.0,22.0,30.0,96.0
Broad,bodymassratio,25,0.1136,0.8943683691828722,3.0,7.0,5.0,146.0,13.0,129.0,131.0
Canton,adbm,23,0.13043478260869565,0.7972021806872811,2.0,13.0,10.0,16.0,10.0,199.0,208.0
Canton,niche,23,0.12476370510396975,0.8845244813533465,2.0,8.0,1.0,31.0,21.0,61.0,61.0
Canton,bodymassratio,23,0.14177693761814744,0.9005034163128564,3.0,4.0,7.0,189.0,30.0,134.0,112.0
Catlins,adbm,20,0.07,0.8923095884100615,2.0,14.0,5.0,16.0,3.0,20.0,52.0
Catlins,niche,20,0.12,0.8494497149385974,2.0,7.0,10.0,0.0,0.0,30.0,48.0
Catlins,bodymassratio,20,0.1225,0.9116001383009724,2.0,4.0,5.0,109.0,19.0,45.0,45.0
Dempsters,adbm,33,0.1046831955922865,0.8735801455341743,2.0,8.0,7.0,255.0,11.0,312.0,280.0
Dempsters,niche,33,0.09550045913682277,0.8929746044551695,3.0,11.0,1.0,11.0,6.0,19.0,64.0
Dempsters,bodymassratio,33,0.09550045913682277,0.895111919541022,3.0,9.0,8.0,290.0,39.0,180.0,195.0
German,adbm,19,0.13019390581717452,0.877040135315537,2.0,7.0,4.0,57.0,12.0,85.0,71.0
German,niche,19,0.11080332409972299,0.8974368064524497,3.0,9.0,1.0,13.0,1.0,8.0,28.0
German,bodymassratio,19,0.0886426592797784,0.9441787797173744,4.0,5.0,6.0,46.0,3.0,29.0,31.0
Healy,adbm,19,0.16066481994459833,0.9050847700872924,3.0,4.0,3.0,87.0,16.0,84.0,124.0
