model,time,n_rep,param_set,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
BMR,G3,2,baseline,28,0.13010204081632654,7,0.8934511155860303,12.338033366438571,1.0,0.5797499833081486,0.6937142130185776,2.6785714285714284,0.38392857142857145,0.02295918367346939,0.25892857142857145,0.22576530612244897
BMR,G3,2,shifted_optimum_low,28,0.14668367346938777,4,0.8963587538780908,6.076378306878306,1.0,0.535649246076027,0.6504216933590442,3.142857142857143,0.4744897959183674,0.10841836734693877,0.2423469387755102,0.20280612244897958
BMR,G3,2,shifted_optimum_high,28,0.11862244897959184,9,0.9145336697856682,11.060638750009659,1.0,0.5560833042720769,0.6402708581829412,2.357142857142857,0.35459183673469385,0.0012755102040816326,0.21428571428571427,0.1951530612244898
ADBM,G3,2,biomass_driven,28,0.25892857142857145,2,0.7914353762387367,3.656889445836814,3.0,0.96487846046825,0.7410005269556872,6.285714285714286,0.375,0.4107142857142857,0.8954081632653061,1.2410714285714286
ADBM,G3,2,high_attack,28,0.288265306122449,1,0.7877550867721326,3.41862986220129,2.0,1.0047817153557035,0.8463078347628338,7.107142857142857,0.0,0.860969387755102,0.9617346938775511,1.2908163265306123
ADBM,G3,2,low_attack,28,0.2895408163265306,1,0.7874438763339632,3.4203436246293384,2.0,1.0000233594605936,0.8435225501093174,7.142857142857143,0.0,0.8724489795918368,0.9617346938775511,1.288265306122449
ADBM,G3,2,power_handling,28,1.0,1,NaN,13.999999999999957,1.0,0.0,0.0,27.035714285714285,0.0,0.0,0.0,0.0
ADBM,G3,2,high_handling,28,0.288265306122449,1,0.7877550867721326,3.41862986220129,2.0,1.0047817153557035,0.8463078347628338,7.107142857142857,0.0,0.860969387755102,0.9617346938775511,1.2908163265306123
ADBM,G3,2,low_handling,28,0.2895408163265306,1,0.7874438763339632,3.4203436246293384,2.0,1.0000233594605936,0.8435225501093174,7.142857142857143,0.0,0.8724489795918368,0.9617346938775511,1.288265306122449
ADBM,G3,2,strict_ratio,28,0.23979591836734693,1,0.779399485194288,3.043925831202047,2.0,1.1040619407331291,0.966796135283009,5.75,0.0,0.4477040816326531,0.9630102040816326,1.183673469387755
ADBM,G3,2,relaxed_ratio,28,0.36862244897959184,1,0.7874318168360502,3.711498609415276,2.0,0.7941632262311228,0.7444526160467972,9.357142857142858,0.0,1.8341836734693877,0.9005102040816326,1.0408163265306123
ADBM,G3,2,baseline,28,0.2895408163265306,1,0.7874438763339632,3.4203436246293384,2.0,1.0000233594605936,0.8435225501093174,7.142857142857143,0.0,0.8724489795918368,0.9617346938775511,1.288265306122449
BMR,G4,2,strict_threshold,44,0.11983471074380166,9,0.8952233169878562,36.74951910297053,2.0,0.49652443567536686,0.47763346600021217,4.295454545454546,0.6342975206611571,0.012913223140495868,0.3135330578512397,0.31921487603305787
BMR,G4,2,narrow_niche,44,0.1534090909090909,8,0.8777870767987209,-2.5818932551984598e17,1.0,0.41673604552066434,0.42160675634326555,5.7727272727272725,1.0351239669421488,0.007747933884297521,0.5232438016528925,0.5211776859504132
BMR,G4,2,wide_niche,44,0.08729338842975207,10,0.9178256964507759,15.809595810678472,1.0,0.566925294293511,0.47625720905203334,2.8636363636363638,0.32386363636363635,0.031508264462809916,0.1296487603305785,0.14514462809917356
BMR,G4,2,relaxed_threshold,44,0.0996900826446281,8,0.9090943679597766,-9.844751005814085e16,1.0,0.4847801272906551,0.4538752260778243,3.409090909090909,0.4364669421487603,0.02066115702479339,0.1921487603305785,0.19834710743801653
BMR,G4,2,baseline,44,0.11931818181818182,9,0.9024581712366071,1.263510488495402e16,1.0,0.39428496530548746,0.43303934145063705,4.2727272727272725,0.5852272727272727,0.01859504132231405,0.29235537190082644,0.2825413223140496
