time,n_rep,param_set,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
G2,84,relaxed_threshold,20,0.1125,7,0.9075622088702132,7.416666666666667,2.0,0.9659572580096359,0.747532219007008,1.3,0.2,0.01,0.1275,0.1725
G2,84,baseline,20,0.1425,6,0.8971545512702299,9.280000000000003,2.0,0.685641423489261,0.790959922459618,1.9,0.31,0.0075,0.245,0.215
G2,84,shifted_optimum_low,20,0.155,6,0.9120118042697521,18.76326530612245,1.0,0.5817759221691382,0.6527566488936326,2.15,0.36,0.0325,0.2275,0.2075
G2,84,shifted_optimum_high,20,0.1175,4,0.8974501929853863,4.758333333333333,3.0,0.8652237496461275,0.978918136331312,1.4,0.1875,0.0025,0.2025,0.175
G3,84,strict_threshold,28,0.14795918367346939,8,0.9072352923105509,3.7529686798352264e16,1.0,0.49036158638394345,0.590212443828605,3.1785714285714284,0.5267857142857143,0.026785714285714284,0.3086734693877551,0.2767857142857143
G3,84,narrow_niche,28,0.16198979591836735,6,0.8990830860037066,4.416468943662465e16,1.0,0.5073249341706475,0.5247681276527879,3.5714285714285716,0.6530612244897959,0.0012755102040816326,0.3826530612244898,0.3762755102040816
G3,84,wide_niche,28,0.11096938775510204,10,0.9246322009622443,1.9161659389538464e16,1.0,0.5423678066549202,0.5132955782686337,2.142857142857143,0.3163265306122449,0.015306122448979591,0.14540816326530612,0.15051020408163265
G3,84,relaxed_threshold,28,0.12755102040816327,8,0.9196039433266423,4.703498985830752e16,1.0,0.7522017065969788,0.5775042087388724,2.607142857142857,0.38137755102040816,0.03826530612244898,0.1989795918367347,0.25
G3,84,baseline,28,0.14795918367346939,8,0.894186799207459,1.9745399394242003e17,1.0,0.5563345047796675,0.5445737158498737,3.1785714285714284,0.5114795918367347,0.03188775510204082,0.288265306122449,0.29209183673469385
G3,84,shifted_optimum_low,28,0.15306122448979592,8,0.8995926447576793,3.6134742673832744e16,1.0,0.46170198643696064,0.4954110402135101,3.3214285714285716,0.5395408163265306,0.05739795918367347,0.27168367346938777,0.2614795918367347
G3,84,shifted_optimum_high,28,0.13010204081632654,7,0.9042292869628736,-2.5648626872535036e16,1.0,0.6649557266799595,0.5551581303071652,2.6785714285714284,0.40816326530612246,0.002551020408163265,0.23979591836734693,0.27040816326530615
G4,84,strict_threshold,44,0.13739669421487602,8,0.8874431106264944,2.8390255670671824e16,1.0,0.37236983000242124,0.3808181478504258,5.068181818181818,0.8016528925619835,0.02324380165289256,0.3822314049586777,0.37964876033057854
G4,84,narrow_niche,44,0.17148760330578514,5,0.8715252023007469,1.9172833224073328e17,1.0,0.30444322436650845,0.26881620172601917,6.568181818181818,1.2324380165289257,0.016012396694214875,0.5909090909090909,0.6038223140495868
G4,84,wide_niche,44,0.10278925619834711,9,0.902833609016694,-5.219199053123819e16,1.0,0.44856369585495315,0.40035008460914123,3.5454545454545454,0.4375,0.03254132231404959,0.18491735537190082,0.19421487603305784
G4,84,relaxed_threshold,44,0.11570247933884298,8,0.9079759932114999,9.994719004359995e16,1.0,0.42955659194780055,0.4751788812125923,4.113636363636363,0.5526859504132231,0.03254132231404959,0.26911157024793386,0.2572314049586777
G4,84,baseline,44,0.12448347107438017,7,0.893118908795056,8.014668575952274e16,1.0,0.3466054706329202,0.37455312575963856,4.5,0.6704545454545454,0.02427685950413223,0.30113636363636365,0.2944214876033058
G4,84,shifted_optimum_low,44,0.14307851239669422,8,0.8930335174568721,5.048012638758365e16,1.0,0.3520007359024261,0.281618584094597,5.318181818181818,0.7877066115702479,0.10847107438016529,0.3052685950413223,0.32489669421487605
G4,84,shifted_optimum_high,44,0.11983471074380166,7,0.9007081599502295,-1.5644195131702653e17,1.0,0.4077173567827021,0.3177848279239708,4.295454545454546,0.6337809917355371,0.0010330578512396695,0.28615702479338845,0.306301652892562
G1,85,strict_threshold,47,0.14757808963331825,7,0.8678957724841379,49.58653448606223,1.0,0.5166836434505367,0.5381030795841265,5.957446808510638,0.9121774558623812,0.01765504753282028,0.5654142145767316,0.5540968764146673
G1,85,narrow_niche,47,0.1751923947487551,6,0.8492710016394376,98.04172234141053,5.0,0.45737608340998914,0.5034292639630271,7.25531914893617,1.2621095518334087,0.009959257582616569,0.8026256224535989,0.7713897691263015
G1,85,wide_niche,47,0.09732910819375283,8,0.919999191895221,29.12571751400643,7.0,0.7360430373841592,0.5369126683119368,3.595744680851064,0.4047080126754187,0.013128112267994568,0.22363060208239022,0.27885921231326394
G1,85,relaxed_threshold,47,0.12449071978270711,8,0.8876706920884538,13.10761957962665,5.0,0.732926639478569,0.7285818257571154,4.872340425531915,0.5921231326392032,0.0362154821186057,0.45495699411498414,0.457220461747397
G1,85,baseline,47,0.1276595744680851,7,0.8853953124436585,18.77977564225019,6.0,0.6520128625624343,0.531609533071195,5.0212765957446805,0.7496604798551381,0.018560434585785424,0.406518786781349,0.45993662290629245
G1,85,shifted_optimum_low,47,0.13037573562698054,7,0.8843630066793503,17.80628532455889,6.0,0.6045352934510207,0.5289385436490663,5.148936170212766,0.7473970122227253,0.07378904481665913,0.3698506111362608,0.40334993209597103
G1,85,shifted_optimum_high,47,0.11951109099139882,7,0.8840070211498101,29.182267594899315,7.0,0.7193922279716316,0.592269387954108,4.638297872340425,0.6351290176550475,0.0009053870529651426,0.39022181982797643,0.44499773653236757
G2,85,strict_threshold,20,0.14,8,0.9279878277208953,1.017162581557806,1.0,0.49973139938969496,0.5508513087389554,1.85,0.36,0.005,0.1775,0.1675
G2,85,narrow_niche,20,0.165,7,0.8963995310138116,1.3061502002938214e17,1.0,0.46218983985934703,0.5482825853852736,2.35,0.465,0.01,0.2575,0.235
G2,85,wide_niche,20,0.1225,8,0.9303951683088595,17.634146341463417,1.0,0.5992169203219505,0.5375078665392273,1.5,0.2875,0.0075,0.1225,0.1325
G2,85,relaxed_threshold,20,0.1325,9,0.9343952557592388,0.8704140987047526,1.0,0.6510189498919061,0.6275721836293009,1.7,0.285,0.0225,0.1525,0.1575
