model,extinction_mechanism,richness,links,connectance,diameter,complexity,distance,basal,top,generality,vulnerability,redundancy,S1,S2,S4,S5,robustness,r50,rep
bodymassratio,generality_descending,20,26,0.065,3,0.8463438767277496,1.0,1.0,16.0,0.6569466853317862,3.2460502314756554,7.0,13.0,0.0,104.0,8.0,0.5101950354609928,0.5208333333333334,15
bodymassratio,vulnerability_descending,20,53,0.1325,9,0.861174171209773,3.0,1.0,11.0,1.8994459025837258,4.637093009520876,34.0,43.0,25.0,223.0,53.0,0.6907051282051282,0.22916666666666666,16
bodymassratio,size_descending,20,53,0.1325,9,0.861174171209773,3.0,1.0,11.0,1.8994459025837258,4.637093009520876,34.0,43.0,25.0,223.0,53.0,0.5684523809523809,0.2708333333333333,17
bodymassratio,motility_descending,20,75,0.1875,12,0.8511831060083318,1.0,1.0,7.0,3.3697571363370886,3.9983549248738735,56.0,47.0,41.0,214.0,170.0,0.5937499999999997,0.5208333333333334,18
bodymassratio,calcification_descending,20,68,0.17,13,0.8710011265704529,3.0,1.0,7.0,2.722228189514882,4.296877691386716,49.0,63.0,33.0,224.0,119.0,0.5988095238095235,0.4791666666666667,20
bodymassratio,generality_ascending,20,48,0.12,10,0.8885702252562323,3.0,1.0,10.0,2.186080366414065,3.952347736672337,29.0,34.0,21.0,161.0,58.0,0.5431547619047622,0.5208333333333334,21
bodymassratio,vulnerability_ascending,20,43,0.1075,17,0.9552500886280985,3.0,1.0,3.0,3.328900561351814,2.9607075967890193,24.0,30.0,4.0,104.0,126.0,0.5101950354609928,0.5208333333333334,22
bodymassratio,size_ascending,20,54,0.135,11,0.8499347871243803,3.0,1.0,9.0,3.0796445454493266,3.0452724361748515,35.0,43.0,0.0,134.0,136.0,0.5101950354609928,0.5208333333333334,23
bodymassratio,motility_ascending,20,75,0.1875,12,0.8511831060083318,1.0,1.0,7.0,3.3697571363370886,3.9983549248738735,56.0,47.0,41.0,214.0,170.0,0.5937499999999997,0.5208333333333334,24
bodymassratio,calcification_ascending,20,72,0.18,13,0.8729675185703412,3.0,1.0,6.0,3.03315017762062,4.357691325026422,53.0,58.0,49.0,225.0,132.0,0.5305232558139534,0.4791666666666667,26
lmatrix,random,20,20,0.05,3,0.8282667681749574,3.0,1.0,17.0,0.3244428422615251,3.598245186344676,1.0,4.0,0.0,123.0,1.0,0.4942375886524822,0.5208333333333334,27
lmatrix,generality_descending,20,19,0.0475,2,0.883926709136484,2.0,1.0,18.0,0.22360679774997896,3.6051863226541614,0.0,3.0,0.0,123.0,0.0,0.5250000000000002,0.5208333333333334,28
lmatrix,vulnerability_descending,20,19,0.0475,1,NaN,2.0,1.0,19.0,0.22360679774997896,4.2485291572496005,0.0,0.0,0.0,171.0,0.0,0.4228603603603605,0.3125,29
lmatrix,size_descending,20,19,0.0475,1,NaN,2.0,1.0,19.0,0.22360679774997896,4.2485291572496005,0.0,0.0,0.0,171.0,0.0,0.5101950354609928,0.5208333333333334,30
lmatrix,motility_descending,20,22,0.055,5,0.904791221648229,3.0,1.0,15.0,0.7181848464596079,3.9986839940423553,3.0,4.0,0.0,153.0,6.0,0.5777243589743587,0.4791666666666667,31
