model,time,n_rep,bodysize_method,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
random,G3,81,lognormal,28,0.2780612244897959,3,0.9272445341998833,2.6176973314310084e16,1.0,0.26704328630923563,0.26704328630923563,6.821428571428571,0.0,0.0,0.0,0.0
adbm,G4,81,lognormal,44,1.0,1,NaN,22.000000000000004,1.0,0.0,0.0,43.02272727272727,0.0,0.0,0.0,0.0
bodymassratio,G4,81,lognormal,44,1.0,1,NaN,22.000000000000004,1.0,0.0,0.0,43.02272727272727,0.0,0.0,0.0,0.0
lmatrix,G4,81,lognormal,44,0.2396694214876033,1,0.7542251010915906,2.809347343403072,2.0,1.1475303479211079,0.8811657861690555,9.568181818181818,0.0,0.7386363636363636,1.3641528925619835,2.03150826446281
niche,G4,81,lognormal,44,0.16012396694214875,4,0.8606805376813446,4.27065341645246,2.0,0.9279375896407976,0.45809093042190996,6.068181818181818,0.44886363636363635,0.24586776859504134,0.2190082644628099,0.49173553719008267
pfim_metaweb,G4,81,lognormal,44,0.1368801652892562,3,0.8504460455213982,2.4519969691728654,3.0,1.4653071707061418,0.5932664067256673,5.045454545454546,0.1637396694214876,0.24431818181818182,0.14979338842975207,0.734504132231405
pfim_downsample,G4,81,lognormal,44,0.11105371900826447,3,0.908057623964916,2.5822252977801563,3.0,1.5555842240259483,0.5792040912754725,3.909090909090909,0.1415289256198347,0.1353305785123967,0.11053719008264463,0.5635330578512396
random,G4,81,lognormal,44,0.27789256198347106,3,0.9260398024786649,3.634884732899756e16,1.0,0.2009994877619933,0.2009994877619933,11.25,0.0,0.0,0.0,0.0
adbm,G1,81,truncated_lognormal,47,1.0,1,NaN,23.500000000000057,1.0,0.0,0.0,46.02127659574468,0.0,0.0,0.0,0.0
bodymassratio,G1,81,truncated_lognormal,47,1.0,1,NaN,23.500000000000057,1.0,0.0,0.0,46.02127659574468,0.0,0.0,0.0,0.0
lmatrix,G1,81,truncated_lognormal,47,0.2114078768673608,1,0.7764637861801665,2.78971819793386,2.0,1.1724438918572784,1.0436733913146627,8.957446808510639,0.0,0.552286102308737,1.5119963784517882,1.8053417836124943
niche,G1,81,truncated_lognormal,47,0.09506564056133997,4,0.8903991728485261,5.2901541433835675,2.0,1.4382765574750616,0.3549525659378423,3.4893617021276597,0.2240832956088728,0.09597102761430512,0.07695789950203712,0.44590312358533274
pfim_metaweb,G1,81,truncated_lognormal,47,0.11815301041195111,4,0.8315850490246237,2.1263668482285256,3.0,1.7514742960613416,0.5464685034798675,4.574468085106383,0.07650520597555455,0.19013128112267993,0.12992304210049796,0.9071978270710729
pfim_downsample,G1,81,truncated_lognormal,47,0.09597102761430512,4,0.8936792008180937,2.397863224641468,3.0,1.8895992760847582,0.5789902720840963,3.5319148936170213,0.05160706201901313,0.09687641466727026,0.1136260751471254,0.7134449977365324
random,G1,81,truncated_lognormal,47,0.2037120869171571,3,0.9303410232304219,-6.224623511029593e16,1.0,0.26291646410234865,0.26291646410234865,8.595744680851064,0.0,0.0,0.0,0.0
adbm,G2,81,truncated_lognormal,20,1.0,1,NaN,9.999999999999998,1.0,0.0,0.0,19.05,0.0,0.0,0.0,0.0
bodymassratio,G2,81,truncated_lognormal,20,1.0,1,NaN,9.999999999999998,1.0,0.0,0.0,19.05,0.0,0.0,0.0,0.0
lmatrix,G2,81,truncated_lognormal,20,0.215,1,0.8520030294207721,2.917647058823529,2.0,0.9898290075734635,1.2605197655796752,3.35,0.0,0.2625,0.79,0.5225
niche,G2,81,truncated_lognormal,20,0.0825,3,0.9359624395933844,2.464285714285714,2.0,1.3230720122361488,0.7429204474001513,0.7,0.0625,0.0075,0.04,0.1125
pfim_metaweb,G2,81,truncated_lognormal,20,0.175,3,0.7922802242263642,2.1722756410256414,2.0,1.4846149779161804,0.5676567244564473,2.55,0.1875,0.2275,0.0,0.415
pfim_downsample,G2,81,truncated_lognormal,20,0.16,3,0.8387297239770573,2.6492053401144315,2.0,1.536293386180209,0.5963843912320838,2.25,0.1525,0.2,0.0075,0.4025
random,G2,81,truncated_lognormal,20,0.205,4,0.9021402565113206,3.526933235652388e16,1.0,0.480692696584234,0.480692696584234,3.15,0.0,0.0,0.0,0.0
adbm,G3,81,truncated_lognormal,28,1.0,1,NaN,13.999999999999957,1.0,0.0,0.0,27.035714285714285,0.0,0.0,0.0,0.0
bodymassratio,G3,81,truncated_lognormal,28,1.0,1,NaN,13.999999999999957,1.0,0.0,0.0,27.035714285714285,0.0,0.0,0.0,0.0
lmatrix,G3,81,truncated_lognormal,28,0.20153061224489796,1,0.8460518382781416,2.8750000000000004,2.0,1.049211358737455,1.2495816981258747,4.678571428571429,0.0,0.28188775510204084,1.0420918367346939,0.7895408163265306
niche,G3,81,truncated_lognormal,27,0.12345679012345678,3,0.897135513897038,4.333333333333333,2.0,1.0019212313581112,0.8766193806102728,2.3703703703703702,0.15912208504801098,0.06584362139917696,0.22496570644718794,0.2661179698216735
pfim_metaweb,G3,81,truncated_lognormal,28,0.13010204081632654,3,0.7906103358501839,2.2574851527149327,2.0,1.6892443153121253,0.7096245515367301,2.6785714285714284,0.1364795918367347,0.20918367346938777,0.02295918367346939,0.45408163265306123
pfim_downsample,G3,81,truncated_lognormal,28,0.11096938775510204,3,0.8269239010556255,2.71790663380737,2.0,1.8318130140636826,0.7899908690739414,2.142857142857143,0.09438775510204081,0.14158163265306123,0.03188775510204082,0.4017857142857143
random,G3,81,truncated_lognormal,28,0.2755102040816326,4,0.9039446906598931,4.054677239263571e16,1.0,0.33443652227407494,0.33443652227407494,6.75,0.0,0.0,0.0,0.0
adbm,G4,81,truncated_lognormal,44,1.0,1,NaN,22.000000000000004,1.0,0.0,0.0,43.02272727272727,0.0,0.0,0.0,0.0
bodymassratio,G4,81,truncated_lognormal,44,1.0,1,NaN,22.000000000000004,1.0,0.0,0.0,43.02272727272727,0.0,0.0,0.0,0.0
lmatrix,G4,81,truncated_lognormal,44,0.23450413223140495,1,0.7673026529499455,2.773033537739422,2.0,1.1303778943473433,0.9285946251320772,9.340909090909092,0.0,0.6787190082644629,1.4333677685950412,1.9245867768595042
niche,G4,81,truncated_lognormal,43,0.1265548945375879,3,0.879224749452428,4.682834683641975,2.0,1.2098618343472543,0.6879229491169375,4.465116279069767,0.24878312601406166,0.1795565170362358,0.251487290427258,0.5776095186587344
pfim_metaweb,G4,81,truncated_lognormal,44,0.1368801652892562,3,0.8504460455213982,2.4519969691728654,3.0,1.4653071707061418,0.5932664067256673,5.045454545454546,0.1637396694214876,0.24431818181818182,0.14979338842975207,0.734504132231405
pfim_downsample,G4,81,truncated_lognormal,44,0.10847107438016529,4,0.9052416381614898,2.8744945173454175,3.0,1.6089791814136827,0.6356194013826331,3.7954545454545454,0.10485537190082644,0.12138429752066116,0.13171487603305784,0.574896694214876
random,G4,81,truncated_lognormal,44,0.256198347107438,3,0.9275595715338201,3.715042440145376e16,1.0,0.25550825089977,0.25550825089977,10.295454545454545,0.0,0.0,0.0,0.0
adbm,G1,82,uniform,47,1.0,1,NaN,23.500000000000057,1.0,0.0,0.0,46.02127659574468,0.0,0.0,0.0,0.0
bodymassratio,G1,82,uniform,47,1.0,1,NaN,23.500000000000057,1.0,0.0,0.0,46.02127659574468,0.0,0.0,0.0,0.0
lmatrix,G1,82,uniform,47,0.18832050701674966,2,0.7972498853963688,3.015498013021505,2.0,1.4217044129005132,0.9235800368219323,7.872340425531915,0.047080126754187414,0.507922136713445,0.927116342236306,1.8800362154821186
